#Table1
objid,ra,dec
1237678859549606058,10.0050373474044,12.67507341376
1237679319093674484,10.0050597251665,10.3376358219519
1237678859012735505,10.00508180464,12.4539573150782
1237678907323711621,10.0050879920168,10.5775184640611
1237678919672070466,10.0050950792666,12.4539795653976
1237678859012735509,10.0051051645178,12.3333883416289
1237678857939058958,10.0051084421103,11.5545916612995
1237678918061458198,10.0051309547995,11.3104566704893
1237678919672070456,10.0051643261623,12.6465654726218
1237678907860582813,10.0051756021778,10.8258189878108
1237678918598328783,10.0051871473993,11.7532968803358
1237678907860583238,10.0052402723708,10.9292619613234
1237678858475864288,10.0052411981629,11.8392862938866
1237678859012735506,10.0052481981376,12.4520889358057
1237678907323712281,10.0052825099877,10.5151308489013
1237678907323711996,10.0052968920112,10.3848511874832
1237678919672070776,10.0053033432682,12.539396034536
1237678859549606062,10.0053214429297,12.7048758529631
1237678906786840856,10.0053310369544,10.058628289626
1237678859549606137,10.0053518041051,12.8052312917062
1237678857939058960,10.0053915667289,11.4594135909333
1237678858475864935,10.0053943124786,11.8882976348101
1237679319630545748,10.005421642457,10.6075169856503
1237679319093674489,10.005439326482,10.3193013133021
1237678857939058886,10.0054467197976,11.6028961654773
1237678919135199628,10.0054722213359,12.0555617942485
1237678919135199641,10.0054780313241,12.071872737837
1237678858475864655,10.0055130934616,11.9849648965644
1237679319093674492,10.0055151503915,10.1853796386006
1237678906786840721,10.0055163116402,10.0183141529495
1237678858475864996,10.0055172247638,11.8818772178864
